 2861.0 10.4702  0.1035 10.1246
 2861.6 10.5103  0.1034 10.2323
 2862.3 10.3459  0.1025 10.0700
 2863.0 10.2407  0.1021  9.9133
 2863.6 10.4515  0.1028 10.1027
 2864.3 10.5165  0.1030 10.2239
 2865.0 10.4219  0.1022 10.1407
 2865.6 10.2598  0.1009  9.9905
 2866.3 10.1669  0.1007  9.8206
 2867.0 10.2527  0.1007 10.0379
 2867.6 10.0139  0.0994  9.8585
 2868.3  9.7987  0.0983  6.7038
 2869.0  9.8762  0.0986 10.0310
 2869.6 10.1249  0.0992 10.2172
 2870.3 10.2252  0.0998 10.2050
 2871.0 10.1896  0.0996 10.1424
 2871.7 10.2915  0.1001 10.2341
 2872.3 10.2708  0.0999 10.2885
 2873.0 10.0869  0.0993 10.1204
 2873.7 10.1377  0.0995 10.0375
 2874.3 10.3394  0.1001 10.2750
 2875.0 10.2464  0.0996 10.1885
 2875.7 10.1659  0.0991  9.9915
 2876.3 10.0836  0.0986  9.9379
 2877.0 10.0997  0.0984 10.1798
 2877.7 10.0415  0.0980  9.9800
 2878.3  9.9322  0.0973  9.8623
 2879.0  9.9472  0.0976  9.8829
 2879.7  9.9460  0.0974  9.7747
 2880.4  9.9061  0.0971  9.7351
 2881.0  9.9220  0.0967  9.7694
 2881.7  9.8950  0.0967  9.7595
 2882.4  9.8600  0.0963  9.6743
 2883.0  9.8215  0.0957  9.7141
 2883.7  9.8504  0.0956  9.7762
 2884.4  9.8306  0.0956  9.6940
 2885.1  9.7918  0.0960  9.6253
 2885.7  9.8010  0.0967  9.7326
 2886.4  9.8268  0.0964  9.8185
 2887.1  9.7978  0.0955  9.7796
 2887.7  9.8424  0.0952  9.8329
 2888.4  9.8655  0.0955  9.8469
 2889.1  9.8108  0.0949  9.7400
 2889.8  9.7716  0.0942  9.6925
 2890.4  9.6915  0.0938  9.5878
 2891.1  9.7734  0.0938  9.7405
 2891.8  9.7208  0.0930  9.7585
 2892.4  9.5393  0.0918  9.5884
 2893.1  9.4816  0.0913  9.5027
 2893.8  9.4545  0.0912  9.4726
 2894.5  9.4419  0.0913  9.4333
 2895.1  9.4788  0.0916  9.3366
 2895.8  9.5161  0.0919  9.3254
 2896.5  9.5267  0.0925  9.3765
 2897.1  9.5566  0.0925  9.5600
 2897.8  9.5500  0.0922  9.5479
 2898.5  9.5352  0.0922  9.3748
 2899.2  9.5452  0.0922  9.4432
 2899.9  9.5365  0.0919  9.5531
 2900.5  9.5678  0.0920  9.5608
 2901.2  9.5675  0.0923  9.4489
 2901.9  9.5673  0.0922  9.4879
 2902.6  9.5150  0.0919  9.3466
 2903.2  9.4432  0.0915  9.3444
 2903.9  9.4553  0.0914  9.2855
 2904.6  9.3848  0.0910  9.0409
 2905.2  9.3106  0.0905  8.9829
 2905.9  9.3967  0.0905  9.2365
 2906.6  9.5140  0.0911  9.4511
 2907.3  9.4015  0.0904  9.4368
 2907.9  9.3244  0.0900  9.3862
 2908.6  9.2992  0.0900  9.1986
 2909.3  9.2827  0.0899  9.0287
 2910.0  9.3379  0.0900  9.1138
 2910.7  9.2600  0.0896  8.8898
 2911.3  9.3877  0.0898  9.2363
 2912.0  9.3470  0.0894  9.2918
 2912.7  9.2837  0.0891  9.2592
 2913.4  9.2119  0.0883  9.1915
 2914.0  9.1276  0.0882  8.9588
 2914.7  9.2767  0.0881  9.2692
 2915.4  9.0912  0.0876  9.0216
 2916.1  9.2547  0.0882  9.1381
 2916.8  9.3092  0.0883  9.4011
 2917.4  9.2865  0.0885  9.3245
 2918.1  9.2636  0.0881  9.2935
 2918.8  9.1985  0.0879  9.3270
 2919.5  9.3605  0.0883  9.4647
 2920.1  9.2404  0.0883  9.1703
 2920.8  9.2486  0.0880  9.2213
 2921.5  9.3457  0.0882  9.4501
 2922.2  9.3264  0.0876  9.4233
 2922.9  9.2517  0.0875  9.3924
 2923.6  9.1770  0.0871  9.2830
 2924.2  9.3456  0.0878  9.3238
 2924.9  9.3212  0.0877  8.0178
 2925.6  9.3338  0.0874  9.4169
 2926.3  9.3902  0.0876  9.4817
 2926.9  9.3187  0.0872  9.4164
 2927.6  9.3059  0.0871  9.3806
 2928.3  9.2604  0.0866  9.3951
 2929.0  9.3646  0.0869  9.3224
 2929.7  9.3972  0.0870  9.5031
 2930.4  9.3808  0.0871  9.5467
 2931.0  9.4080  0.0872  9.6368
 2931.7  9.2550  0.0870  9.5659
 2932.4  9.3077  0.0871  9.6519
 2933.1  9.3011  0.0867  9.6385
 2933.8  9.3375  0.0869  9.1397
 2934.4  9.3535  0.0865  9.4486
 2935.1  9.3511  0.0864  9.5062
 2935.8  9.4434  0.0865  9.6907
 2936.5  9.3201  0.0861  9.5848
 2937.2  9.3613  0.0862  9.5955
 2937.9  9.3744  0.0865  9.4871
 2938.6  9.2023  0.0857  9.4595
 2939.2  9.1719  0.0850  9.4488
 2939.9  9.2037  0.0852  9.3041
 2940.6  9.2542  0.0852  9.4849
 2941.3  9.2718  0.0852  9.5155
 2942.0  9.2266  0.0851  9.4049
 2942.6  9.2500  0.0850  9.4923
 2943.3  9.2259  0.0851  9.4486
 2944.0  9.2530  0.0858  9.4758
 2944.7  9.2341  0.0738  9.4445
 2945.4  9.2585  0.0833  9.5152
 2946.1  9.2983  0.0834  9.5329
 2946.8  9.1969  0.0826  9.3547
 2947.4  9.2465  0.0834  9.4695
 2948.1  9.3582  0.0822  9.1408
 2948.8  9.2567  0.0818  9.2576
 2949.5  9.1933  0.0804  9.2845
 2950.2  9.2706  0.0811  9.3185
 2950.9  9.3264  0.0820  9.3006
 2951.6  9.3367  0.0821  9.3901
 2952.2  9.2916  0.0816  9.3533
 2952.9  9.2641  0.0811  9.2586
 2953.6  9.2147  0.0804  9.1933
 2954.3  9.1961  0.0799  9.2494
 2955.0  9.1633  0.0795  9.2477
 2955.7  9.1033  0.0794  9.1222
 2956.4  9.1786  0.0798  9.2469
 2957.1  9.2078  0.0802  9.3040
 2957.8  9.1913  0.0802  9.2756
 2958.4  9.1537  0.0799  9.2547
 2959.1  9.2185  0.0797  9.3337
 2959.8  9.1184  0.0779  9.3186
 2960.5  9.0913  0.0781  9.2744
 2961.2  9.1441  0.0783  9.2943
 2961.9  9.1915  0.0786  9.3413
 2962.6  9.1585  0.0784  9.2681
 2963.3  9.0998  0.0779  9.1415
 2963.9  9.0370  0.0775  9.1565
 2964.6  9.0402  0.0776  9.1233
