# WAVE	 FLUX_LAMBDA	 SIGMA	 FLUXRQ_LAMBDA	 SIGMARQ
  1486.974      0.995      0.009      0.982                0.008
  1493.163      1.007      0.009      1.004                0.009
  1499.353      1.040      0.009      1.035                0.009
  1505.542      1.051      0.010      1.053                0.011
  1511.731      1.071      0.012      1.070                0.013
  1517.920      1.091      0.012      1.092                0.014
  1524.109      1.139      0.014      1.134                0.015
  1530.299      1.202      0.019      1.195                0.017
  1536.488      1.275      0.023      1.263                0.019
  1542.677      1.361      0.030      1.338                0.026
  1548.866      1.427      0.038      1.389                0.027
  1555.055      1.445      0.045      1.395                0.030
