# wl wmean ewmean
1.011330352228521747e+03 5.099869568267437536e+00 1.812461228638512667e+00
1.011730352228521724e+03 5.093089536165538611e+00 1.705683533079830561e+00
1.012130352228521701e+03 5.113076054063896869e+00 1.816293220672613229e+00
1.012530352228521679e+03 5.154681101183820502e+00 1.824649718804397303e+00
1.012930352228521656e+03 5.212551046110806219e+00 1.683665598581142175e+00
1.013330352228521633e+03 5.281452040197962106e+00 1.880294487344850607e+00
1.013730352228521610e+03 5.356157700943431799e+00 1.891763873727394740e+00
1.014130352228521588e+03 5.431442260566913482e+00 1.832313384290886304e+00
1.014530352228521565e+03 5.502033512997262399e+00 1.814365694476621771e+00
1.014930352228521542e+03 5.562699584869710279e+00 1.878234905956949197e+00
1.015330352228521519e+03 5.608646189940038163e+00 1.856376362474551289e+00
1.015730352228521497e+03 5.639465607914829981e+00 1.818657959893819731e+00
1.016130352228521474e+03 5.657434066109953363e+00 1.817050628354868413e+00
1.016530352228521451e+03 5.664833193733668004e+00 1.924559068604827283e+00
1.016930352228521429e+03 5.664042174918576755e+00 1.842216336760612361e+00
1.017330352228521406e+03 5.658307158324660691e+00 1.916034326071651694e+00
1.017730352228521383e+03 5.655100741439538226e+00 1.859233461251958985e+00
1.018130352228521360e+03 5.663171714371423526e+00 1.830669951698503883e+00
1.018530352228521338e+03 5.691403764488956796e+00 1.918129748081072616e+00
1.018930352228521315e+03 5.748407607626297988e+00 1.864425574529024132e+00
1.019330352228521292e+03 5.836696593591886639e+00 1.869400646794284970e+00
1.019730352228521269e+03 5.948676968352077488e+00 1.775171305447529324e+00
1.020130352228521247e+03 6.075764693053550936e+00 1.861496632510095228e+00
1.020530352228521224e+03 6.209368088684827924e+00 1.890674824965539180e+00
1.020930352228521201e+03 6.340830915628105302e+00 1.864092740653219504e+00
1.021330352228521178e+03 6.461568990547902125e+00 1.909158095002947197e+00
1.021730352228521156e+03 6.563002677750892744e+00 1.922040748556469225e+00
1.022130352228521133e+03 6.637883692170329475e+00 1.856260756234328291e+00
1.022530352228521110e+03 6.690100006093260276e+00 1.888080996205900197e+00
1.022930352228521087e+03 6.729483859218888142e+00 1.850529818895539913e+00
1.023330352228521065e+03 6.765789267750313307e+00 1.887244401450909104e+00
1.023730352228521042e+03 6.808755762638249998e+00 1.803442629592454827e+00
1.024130352228521133e+03 6.868121572666133545e+00 1.809523936925369725e+00
1.024530352228520997e+03 6.953786250288830573e+00 1.844135688177220622e+00
1.024930352228520860e+03 7.075253354427376351e+00 1.829929913156617571e+00
1.025330352228520951e+03 7.231441264847022765e+00 1.807751725072336724e+00
1.025730352228521042e+03 7.404181733324322501e+00 1.797247364408834480e+00
1.026130352228520906e+03 7.573687875789474333e+00 1.765631571033560610e+00
1.026530352228520769e+03 7.719984496081663039e+00 1.762860217979939526e+00
1.026930352228520860e+03 7.823421368365039541e+00 1.742330565870380044e+00
1.027330352228520951e+03 7.879242117517702759e+00 1.694731722433886256e+00
1.027730352228520815e+03 7.911446673222441994e+00 1.711611397221907138e+00
1.028130352228520678e+03 7.947472919692343041e+00 1.658886895400891515e+00
1.028530352228520769e+03 8.007383376980296674e+00 1.683799624574115805e+00
1.028930352228520860e+03 8.070785857023436094e+00 1.646031317476153388e+00
1.029330352228520724e+03 8.104129094445744030e+00 1.622462098506419537e+00
1.029730352228520587e+03 8.089620497852148873e+00 1.593271624199055214e+00
1.030130352228520678e+03 8.043538896598567689e+00 1.577359639736812147e+00
1.030530352228520769e+03 7.986885352737530752e+00 1.558554855900600611e+00
1.030930352228520633e+03 7.940773621823748130e+00 1.543710179165532992e+00
1.031330352228520496e+03 7.926163312702540154e+00 1.549904803483510340e+00
1.031730352228520587e+03 7.960040719147574606e+00 1.504449581277964798e+00
1.032130352228520678e+03 8.032291163355003150e+00 1.466905402082981924e+00
1.032530352228520542e+03 8.120957801513908336e+00 1.558651656759488580e+00
1.032930352228520405e+03 8.203943561755099978e+00 1.559380797995073342e+00
1.033330352228520496e+03 8.267499844283690891e+00 1.496682700742290928e+00
